"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"3203",54.737499,54.959999,54.412498,54.68,76662000,53.571323
"3204",55.2575,55.622501,54.297501,54.419998,124763200,53.316601
"3205",54.637501,55.375,54.285,55.2575,87613600,54.137123
"3206",55,55.235001,54.7075,54.9725,75334000,53.857891
"3207",55.134998,55.240002,54.32,54.705002,101408000,53.595825
"3208",55.224998,56.145,55.197498,55.9925,103909600,54.857224
"3209",56.267502,57.055,56.049999,56.147499,139223200,55.009071
"3210",55.764999,55.895,54.482498,54.740002,138449200,53.630108
"3211",54.607498,55.240002,53.782501,55.205002,114426000,54.085678
"3212",56.41,56.872501,55.9725,56.752499,138478800,55.601803
"3213",56.567501,57.482498,56.459999,56.764999,122306000,55.614048
"3214",56.455002,57.014999,56.0825,56.099998,111820000,54.962532
"3215",56.7575,56.947498,56.41,56.7575,74770400,55.606709
"3216",56.982498,57.610001,56.825001,57.522499,113013600,56.35619
"3217",58.237499,59.41,58.077499,59.052502,166795600,57.855171
"3218",58.724998,59.532501,58.6675,58.967499,96427600,57.771893
"3219",59.0975,59.412498,58.720001,58.830002,87360000,57.637188
"3220",58.342499,58.810001,58.299999,58.592499,73903200,57.404499
"3221",58.772499,59.037498,58.380001,58.82,67585200,57.627384
"3222",58.647499,59.395,58.572498,59.102501,97433600,57.90416
"3223",59.380001,60.247501,59.330002,60.127499,87247200,58.908371
"3224",60.290001,60.549999,59.904999,59.990002,82293600,58.773666
"3225",60.525002,60.810001,60.305,60.794998,75828800,59.56234
"3226",61.127499,61.200001,60.452499,60.895,69275200,59.660316
"3227",60.790001,61.682499,60.720001,61.645,73477200,60.395096
"3228",61.855,62.3125,61.68,62.262501,96572800,61.000084
"3229",62.2425,62.4375,60.642502,60.822498,142839600,59.589287
"3230",61.189999,61.325001,60.302502,60.814999,124522000,59.581936
"3231",61.810001,62.2925,59.314999,62.189999,139162000,60.929058
"3232",62.384998,63.982498,62.290001,63.955002,151125200,62.658276
"3233",64.332497,64.462502,63.845001,64.375,103272000,63.069763
"3234",64.262497,64.547501,64.080002,64.282501,79897600,62.979134
"3235",64.192497,64.372498,63.842499,64.309998,75864400,63.006069
"3236",64.684998,65.087502,64.527496,64.857498,94940400,63.733238
"3237",64.672501,65.110001,64.212502,65.035004,69986400,63.907673
"3238",64.574997,65.6175,64.57,65.550003,81821200,64.41375
"3239",65.387497,65.697502,65.230003,65.489998,87388800,64.354774
"3240",65.282501,66.195,65.267502,66.1175,102734400,64.971405
"3241",65.9375,66.220001,65.525002,65.660004,89182800,64.521835
"3242",65.919998,66.445,65.752502,66.440002,100206400,65.288315
"3243",66.449997,66.857498,66.057503,66.775002,86703200,65.617508
"3244",66.974998,67,66.347504,66.572502,76167200,65.418526
"3245",66.385002,66.519997,65.099998,65.797501,106234400,64.656944
"3246",65.922501,66.002502,65.294998,65.502502,121395200,64.367058
